State,Reported,Total,Percentage_reporting
AK,13,16,81.25
AL,93,97,95.88
AR,85,89,95.51
AS,1,1,100
AZ,70,80,87.5
CA,334,363,92.01
CO,88,91,96.7
CT,30,32,93.75
DC,9,10,90
DE,8,8,100
FL,202,215,93.95
GA,124,145,85.52
GU,2,2,100
HI,22,25,88
IA,112,117,95.73
ID,45,45,100
IL,168,182,92.31
IN,122,127,96.06
KS,118,137,86.13
KY,96,103,93.2
LA,135,150,90
MA,71,74,95.95
MD,48,50,96
ME,33,33,100
MI,140,144,97.22
MN,125,126,99.21
MO,109,116,93.97
MS,97,102,95.1
MT,57,61,93.44
NC,108,112,96.43
ND,42,45,93.33
NE,92,95,96.84
NH,26,26,100
NJ,72,76,94.74
NM,38,41,92.68
NV,40,45,88.89
NY,157,165,95.15
OH,175,186,94.09
OK,116,130,89.23
OR,58,60,96.67
PA,171,189,90.48
PR,52,62,83.87
RI,10,11,90.91
SC,61,66,92.42
SD,57,58,98.28
TN,105,115,91.3
TX,436,473,92.18
UT,48,52,92.31
VA,86,91,94.51
VI,2,2,100
VT,14,14,100
WA,90,92,97.83
WI,130,133,97.74
WV,50,51,98.04
WY,26,26,100
zCW,4819,5157,93.44580182276518
